EXTraS_Ape_v0.OBS_ID,EXTraS_Ape_v0.XMM_RA,EXTraS_Ape_v0.XMM_DEC,EXTraS_Ape_v0.XMM_EP_8_FLUX,EXTraS_Ape_v0.XMM_EP_8_FLUX_ERR,main_id,ra,dec,otype,main_type,other_types,plx,plx_err,B,V,R,J,H,K,u,g,r,i,z,distance_pc,distance_ly,distance_cm,XLuminosity,VisibleLuminosity
411780701,329.717,-30.2254,2.524300039830063e-11,6.074540149321114e-14,QSO B2155-304,329.7169384375,-30.2255884577,BLL,BLLac,UV|X|V*|AGN|smm|Opt|cm|Bla|BL?|G|gam|NIR|*|QSO|MIR|BLL|Rad|Bz?,0.0158,0.0191,13.36,13.09,12.62,11.398,10.46,10.134,,,,,,63291.13924050632,206427.8481012658,1.952960493670885e+23,1.2098673429095002e+37,8.740926982176939e+37
412580801,82.187,-65.4482,5.6507399454064355e-11,2.045230033508733e-13,V* AB Dor,82.1869634025,-65.4486664298,TT*,TTauri*,UV|V*|X|PM*|Er*|Ro*|NIR|IR|*|MIR|**|TT*|Em*,67.3331,0.4414,7.856,6.999,6.496,5.316,4.845,4.686,,,,,,14.851536614235792,48.439177759526885,4.582705355909649e+19,1.4912795263439457e+30,1.1356198641307815e+33
412981701,15.7798,-71.8608,4.282909950629153e-14,1.8822999934978504e-14,2MASS J01030720-7151420,15.7800002435,-71.8616534936,RB?,RGB*_Candidate,NIR|*|MIR|RB?,1.8406,0.0342,17.96,16.62,,14.111,13.399,13.156,,,,,,543.3010974682169,1772.0091274584374,1.6764520156470717e+21,1.5126242617845242e+30,3.71240176102921e+32
412981701,15.4092,-71.9036,2.722709990137569e-14,1.4412699278400914e-14,UCAC4 091-002858,15.4076734948,-71.9045310279,*,Star,X|NIR|*,11.1827,0.1987,13.06,11.88,11.7,9.89,9.32,9.18,,,,,,89.4238421848033,291.66122671626704,2.759331449471058e+20,2.605067558578785e+28,4.873920482838554e+32
412982301,15.8995,-72.0564,1.1077700172099081e-14,3.665560066714929e-15,SMC AB  7,15.8996838901,-72.0561440559,WR*,WolfRayet*,X|V*|SB*|*|MIR|s?b|WR*,0.0169,0.0252,12.954,13.016,,13.43,13.42,13.42,,,,,,59171.5976331361,192991.71597633127,1.825844721893492e+23,4.64073907787212e+33,5.826364419223101e+37
414180601,80.8073,-69.5611,2.089239968094264e-14,6.412910160584831e-15,TYC 9166-446-1,80.8067214402,-69.5619776161,*,Star,X|NIR|*|MIR,4.464,0.0105,11.25,10.85,10.49,9.789,9.594,9.54,,,,10.527,,224.0143369175627,730.6362007168458,6.912360170250895e+20,1.2544429285610663e+29,1.820359725314402e+33
414180601,80.9416,-69.6971,1.2366599714749849e-14,6.2521200137899145e-15,OGLE LMC-LPV-50288,80.9431404156,-69.6973156448,LP*,LongPeriodV*,NIR|*|LP*,0.0035,0.0304,,16.703,,13.777,12.943,12.742,,,,,,285714.2857142857,931874.2857142856,8.816221657142856e+23,1.2078838345139968e+35,1.2059226680240669e+38
414180601,81.7713,-69.5222,9.609470201987422e-15,1.0400399921980334e-14,OGLE LMC-SC4 462368,81.7684453534,-69.521537241,RR*,RRLyrae,RR*|V*|RR?|*,0.2401,0.4017,19.77,19.39,,,,,,,,,,4164.931278633902,13584.17326114119,1.2851635068721366e+22,1.9944634334184736e+31,2.109686861776861e+32
414191001,187.155,1.95566,8.488830027363754e-14,1.3661499638798966e-14,GSC 00282-00187,187.1550368194,1.9556274079,Em*,EmLine*,X|PM*|Opt|NIR|*|Em*,6.2359,0.0479,,13.77,,10.901,10.263,10.037,17.195,14.684,13.341,14.642,12.134,160.36177616703282,523.0295546753475,4.948247374075915e+20,2.6119238287086525e+29,4.884676281674585e+32
414191001,187.472,2.13685,2.099979939289634e-13,3.9608700569621416e-14,QSO B1227+0224,187.4721908746,2.1366467245,QSO,QSO,X|AGN|Opt|*|QSO|Rad,0.5262,0.635,20.17,19.95,,,,,20.44,20.029,19.93,19.653,19.711,1900.418091980236,6198.327632079057,5.864077499049791e+21,9.074535679830528e+31,8.81738201732483e+30
414191001,187.395,1.94939,1.0993599964832097e-13,2.86089985794373e-14,[VV2006] J122934.8+015658,187.3946978918,1.9494827039,QSO,QSO,AGN|X|Opt|*|QSO,0.0191,0.1766,19.03,18.9,,,,,18.617,18.692,18.76,18.542,18.431,52356.02094240838,170762.30366492146,1.615538e+23,3.605654830606359e+34,5.267516105601812e+34
414191201,187.118,1.9135,3.1540098495170393e-14,1.4898499778705568e-14,UCAC4 460-050408,187.1186669897,1.9137117704,*,Star,X|Opt|NIR|*,3.2457,0.0271,13.367,12.643,12.5,11.169,10.779,10.674,14.72,12.926,12.435,12.326,12.369,308.0999476230089,1004.8864651693008,9.506971007794927e+20,3.58226119236454e+29,2.224336822361876e+33
510390601,128.719,-45.2561,4.0246499438244966e-14,2.0970599456699053e-14,CD-44  4551,128.7195906582,-45.2560848693,*,Star,NIR|*,1.6549,0.0293,10.49,10.46,,10.187,10.196,10.151,,,,,,604.2661187987189,1970.8502024291497,1.864570415130824e+21,1.7583104385739936e+30,6.673157736734283e+34
561380501,120.896,-40.0031,1.5882800283306686e-11,3.417150121350597e-14,* zet Pup,120.8960314098,-40.0031477983,BY*,BYDraV*,Em*|Pu*|UV|V*|X|BY*|NIR|*|IR|Rad,3.01,0.1,1.98,2.25,2.36,2.76,2.82,2.9,,,,,,332.22591362126246,1083.5747508305649,1.0251420531561462e+21,2.0975148189302423e+32,2.83026690716177e+37
604870337,354.796,-54.5876,3.0379998782479115e-14,2.1777400033024672e-14,L  216-18,354.7938233533,-54.5879731125,PM*,HighPM*,PM*|Er*|NIR|*|MIR,21.8023,0.1149,14.49,13.06,12.6,9.715,9.101,8.865,,13.75,12.45,11.47,,45.8667204836187,149.5970608605514,1.41529911064429e+20,7.647052709054978e+27,1.0576994591321398e+32
604870337,354.826,-54.4864,2.2232600621076813e-14,3.743380117601086e-14,CD-55  9354,354.8251755558,-54.4864392155,PM*,HighPM*,PM*|NIR|*,7.4395,0.0325,11.39,10.64,,9.556,9.213,9.139,,,,,,134.4176355937899,438.4111835472813,4.147694845083675e+20,4.806331532264312e+28,2.977992829480727e+33
604870343,355.097,-53.4823,2.508830003553758e-13,4.351429833864343e-14,3XLSS J234023.1-532857,355.0967820216,-53.4822514776,Sy1,Seyfert1,X|AGN|G|*|QSO|Sy1,0.0022,0.1052,18.53,17.6,17.66,,,,,17.75,18.03,17.47,17.11,454545.4545454545,1482527.2727272725,1.402580718181818e+24,6.202072336722824e+36,6.302272099971127e+36
604870344,355.302,-53.6943,1.785139961199556e-13,7.53624999861799e-14,CRTS J234112.5-534139,355.3021400512,-53.6942195083,EB*,EclBin,NIR|*|MIR|EB*,2.4749,0.0117,13.308,12.638,12.665,11.32,10.971,10.909,,12.942,12.463,12.304,,404.0567295648309,1317.8552668794698,1.2467887914663218e+21,3.4871282058676845e+30,2.9478483979895993e+33
604870347,356.023,-54.2066,1.2599999643365771e-14,7.620130316131866e-15,HD 222829,356.0224195512,-54.2070244227,**,**,NIR|*|**,3.1685,0.588,9.992,9.524,,7.792,7.568,7.491,,10.303,9.377,8.572,,315.60675398453526,1029.3703645258008,9.73860684866656e+20,1.5016684762761567e+29,4.273664158750574e+34
604870347,356.268,-53.9928,2.66947007305108e-14,4.561689838800814e-14,HD 222924,356.2690550347,-53.9931806354,*,Star,NIR|*,2.7664,0.0303,10.75,10.13,,9.127,8.901,8.822,,,,,,361.4806246385194,1178.9907460960092,1.1154126590514748e+21,4.173554207276516e+29,3.391622462473417e+34
671010401,83.6827,-67.8772,7.0024501740715075e-15,2.887470095652972e-15,TYC 9162-317-1,83.6826315177,-67.8783514704,*,Star,NIR|*,3.4534,0.0107,12.4,12.64,11.16,10.925,10.469,10.382,,,,,,289.569699426652,944.448948861991,8.935187293681589e+20,7.025337811068365e+28,3.9102659199941936e+33
671090101,78.432,-67.3748,5.654810167078075e-15,3.329849993015475e-15,HD  34632,78.4323805756,-67.3748286097,WR*,WolfRayet*,NIR|*|MIR|Em*|WR*,0.0076,0.0329,13.002,13.07,13.41,13.3,13.29,13.29,,12.88,13.2,,,131578.94736842104,429152.6315789473,4.060102078947368e+23,1.171390775342151e+34,1.2097443836127832e+38
671150501,206.952,17.5789,9.024350006419521e-14,1.9788100804750585e-14,PB  4089,206.9525442096,17.578467424,QSO,QSO,AGN|X|Opt|NIR|*|QSO,0.049,0.1492,18.39,18.16,,16.539,15.887,15.5,18.161,17.919,17.787,17.644,17.661,20408.16326530612,66562.44897959182,6.2973011836734685e+22,4.497122574226505e+33,9.15964292853676e+34
671150501,206.862,17.3073,3.4374501129644935e-14,1.2018299766838882e-14,V* AQ Boo,206.8621547384,17.3069882138,EB*,EclBin,X|V*|Opt|NIR|*|EB*|EB?,2.4768,0.0145,12.52,12.15,,11.27,10.943,10.88,14.984,16.312,14.594,12.925,13.287,403.7467700258398,1316.844315245478,1.24583235626615e+21,6.70448587426191e+29,2.701825755459115e+33
671150701,206.619,17.6165,3.709059968881601e-12,2.1631900101477122e-13,2MASS J13462861+1736592,206.6192414115,17.6164779308,Sy1,Seyfert1,AGN|Opt|NIR|*|Sy1,0.1071,0.2006,20.26,19.63,,16.622,16.033,15.258,19.918,19.506,18.743,17.987,18.204,9337.068160597571,30453.40802987861,2.8811181886087767e+22,3.868974501721284e+34,1.1375629405828887e+34
671170101,274.166,-24.097,1.733160022562765e-14,2.808689932921101e-14,OGLE BLG-LPV-229510,274.1672694642,-24.0963957082,LP*,LongPeriodV*,NIR|*|LP*|LP?,0.1126,0.0544,,17.199,,9.915,8.795,8.333,,,,,,8880.994671403198,28965.89698046181,2.740388614564832e+22,1.6355839341729155e+32,3.714977757698012e+36
671230201,299.29,45.0644,3.97528012027401e-14,4.702850166449701e-15,HD 189255,299.2897445476,45.0641449532,Er*,Eruptive*,Er*|NIR|*,1.2769,0.0129,10.53,9.4,,7.426,6.89,6.796,,,,,,783.146683373796,2554.279896624638,2.416538162737881e+21,2.917191348986748e+30,4.34409042629705e+35
671230201,299.085,45.2016,1.4025600139308016e-14,1.580229960353543e-15,UCAC4 677-075397,299.0849516629,45.2013696247,PM*,HighPM*,PM*|Er*|Ro*|NIR|*|MIR,8.9845,0.0209,18.217,16.18,15.975,12.353,11.737,11.523,,17.156,15.666,14.474,,111.30279926540152,363.0207579720629,3.434445522844899e+20,2.0789525700120864e+28,5.049424542673421e+31
671230201,298.731,45.0938,7.988430405993403e-15,5.303709928243484e-15,HD 188773,298.7318428994,45.0934819797,*,Star,NIR|*,4.3828,0.0107,10.93,10.39,,9.453,9.223,9.202,,,,,,228.1646436068267,744.1726750022816,7.040425253262755e+20,4.975870901848058e+28,1.0568358982960396e+34
671230201,298.989,44.9553,7.282469949071361e-15,4.8142100115416975e-15,ATO J298.9894+44.9555,298.9894963987,44.9555815877,EB*,EclBin,V*|Opt|NIR|*|EB*,0.8057,0.0203,16.615,15.432,15.461,13.671,13.22,13.091,,16.319,15.274,14.934,,1241.156758098548,4048.1072359439,3.829809581730173e+21,1.3422794088010633e+30,2.751495155713053e+33
671230201,298.779,45.3767,1.1659799848177076e-14,1.2176600060285342e-14,HD 188834,298.778932608,45.3762849238,*,Star,NIR|*,1.582,0.011,11.14,9.93,,7.91,7.428,7.305,,,,,,632.1112515802781,2061.668773704172,1.950491517067004e+21,5.5742839953630695e+29,1.753205296492966e+35
671310101,211.789,1.4068,7.356540100396727e-14,3.1219100113215326e-14,[VV2006] J140709.3+012419,211.7889415284,1.4055794902,QSO,QSO,Opt|*|QSO,0.3078,0.6117,20.09,19.75,,19.057,18.818,18.57,21.227,19.745,19.463,19.372,19.297,3248.862897985705,10596.361273554256,1.0024943404808317e+22,9.290676316737837e+31,3.3061483409070505e+32
671400101,147.257,76.312,1.684890020472313e-13,1.4315199687534724e-13,TYC 4542-1255-1,147.2569464958,76.312160146,PM*,HighPM*,PM*|NIR|*,2.8573,0.0142,11.88,11.53,,10.693,10.44,10.433,,,,,,349.9807510586918,1141.4832184229867,1.0799277569733666e+21,2.469282790644932e+30,8.747856859151554e+33
671510101,283.029,-0.219982,3.481559946615825e-15,1.992790062807959e-15,HD 174751,283.0289545792,-0.220246415,*,Star,UV|NIR|*|MIR,6.925,0.1078,8.5,8.25,,7.717,7.62,7.602,,,,,,144.4043321299639,470.983393501805,4.455852101083033e+20,8.686509040283938e+27,2.913542735702455e+34
671620101,241.287,32.6561,6.99122021125681e-13,2.0852099547378176e-14,RX J1605.2+3239,241.2869780338,32.6559761737,Sy1,Seyfert1,AGN|X|Opt|SyG|G|NIR|*|QSO|Q?|Sy1|Rad,0.3239,0.2981,18.58,18.02,,15.011,14.444,13.843,18.309,17.521,16.972,16.537,16.349,3087.372645878357,10069.651126891014,9.526636554492127e+21,7.97337224212824e+32,5.405832955833409e+33
671620101,241.305,32.975,3.3513299015248965e-14,7.374059621657967e-15,[VV2006] J160513.2+325829,241.3048843652,32.9749736073,QSO,QSO,AGN|X|Opt|NIR|*|QSO|Rad,0.0291,0.0816,18.48,18.25,,16.488,15.966,15.415,18.442,17.961,17.851,17.722,17.538,34364.26116838488,112081.0996563574,1.0603703024054984e+23,4.735241765549406e+33,2.416641873272198e+35
671700101,46.4577,-15.5229,1.5714700726679812e-14,2.8417000350733747e-15,2MASS J03054988-1531217,46.4578737863,-15.5226391277,*,Star,NIR|*,3.2145,0.0488,12.6,12.2,,11.068,10.719,10.576,,,,,,311.09037175299426,1014.6399128946958,9.599245854720796e+20,1.819659832568032e+29,4.002041593618472e+33
671700101,46.6085,-15.6373,6.791640190642384e-15,1.3696100299419593e-15,2MASS J03062593-1538138,46.6080559145,-15.6371816653,*,Star,NIR|*,4.4015,0.0124,13.0,12.6,,11.18,10.778,10.696,,,,,,227.19527433829373,741.0110189708053,7.010513643076223e+20,4.194538754681474e+28,1.611039118533925e+33
671700101,46.5969,-15.7099,3.128010088497774e-15,1.3762399685783556e-15,TYC 5865-1167-1,46.5970533678,-15.7098350669,*,Star,NIR|*,5.01,0.0152,12.22,11.68,,10.316,9.993,9.965,,,,,,199.6007984031936,651.0099800399202,6.159037085828343e+20,1.4910892782173173e+28,2.781077645466574e+33
671700101,46.6882,-15.6676,6.843349858006364e-15,3.874800074576317e-15,2MASS J03064508-1540034,46.6878518851,-15.6676428308,*,Star,NIR|*,4.1897,0.0157,13.4,13.0,,11.392,11.003,10.892,,,,,,238.68057378809937,778.4710122443133,7.364912953194739e+20,4.66459394100901e+28,1.3086986541403064e+33
671850201,298.802,0.760197,1.2846199798355327e-11,7.139020006662752e-14,2MASS J19551247+0045365,298.801999652,0.7602400002,CV*,CataclyV*,X|CV*|gam|NIR|*|MIR,6.0063,0.0616,15.6,16.0,16.0,,15.63,14.06,,,,,,166.49185022393152,543.0231590163661,5.137401694887035e+20,4.260608070724596e+31,2.9368769632228733e+31
671850201,298.883,0.584242,4.2946200117183544e-14,1.4691000423550787e-14,HD 188514,298.8827069569,0.5842995059,SB*,SB*,PM*|SB*|NIR|*,6.5983,0.1349,9.46,8.89,,7.802,7.543,7.495,,,,,,151.5541881999909,494.3030780655623,4.676473606838125e+20,1.180243405967817e+29,1.9224466325855383e+34
671850201,298.768,0.646232,9.268509794564412e-15,4.929060055892855e-15,ATO J298.7681+00.6465,298.7682157714,0.646567392,EB*,EclBin,Opt|NIR|*|MIR|EB*|EB?,0.7707,0.0192,15.26,14.578,14.839,13.567,13.257,13.267,,14.878,14.397,14.183,,1297.5217334890358,4231.9449850785,4.003733722589853e+21,1.867025068668697e+30,4.136289690462651e+33
671850201,298.826,0.577502,7.313589939553482e-15,5.698719931547264e-15,ATO J298.8263+00.5779,298.8263475308,0.5779804043,EB*,EclBin,V*|Opt|NIR|*|EB*,0.8601,0.0235,15.663,14.763,14.74,13.161,12.793,12.692,,15.2,14.522,14.25,,1162.6555051738171,3792.0706894547134,3.587580025578421e+21,1.1828881067906324e+30,4.134696625131418e+33
671850301,286.725,-20.8638,6.465239856066202e-15,4.578930093299344e-15,UCAC4 346-173801,286.725529749,-20.8639880342,PM*,HighPM*,PM*|NIR|*|MIR,11.0325,0.0176,15.834,14.564,14.275,11.34,10.733,10.498,,15.209,14.016,13.26,,90.6412871062769,295.6319963743485,2.796897874461817e+20,6.355470736312821e+27,9.363263419506918e+31
671871001,295.251,-15.4043,1.483890084647086e-14,4.279880029073531e-15,HD 185707,295.2510579701,-15.4045564483,PM*,HighPM*,PM*|NIR|*,20.3455,0.0214,8.86,8.24,,7.06,6.804,6.696,,,,,,49.15091789339166,160.30866776437048,1.5166388538005946e+20,4.289196592705413e+27,3.750396059896016e+33
671960101,73.9974,30.5671,1.6819900507114573e-12,1.1441300076136304e-14,V* SU Aur,73.9974445302,30.5670832245,Or*,OrionV*,Or*|V*|X|Y*O|NIR|IR|*|MIR|TT*|Em*,6.37,0.0303,10.33,9.3,9.17,7.199,6.558,5.99,,,,,,156.98587127158555,512.0188383045526,4.844077833594976e+20,4.959701188004137e+30,1.7830650113147874e+34
671960101,73.9509,30.3381,3.992129977287151e-12,7.138580227156535e-14,HD  31305,73.9509633374,30.3379018236,Or*,OrionV*,UV|Or*|X|NIR|IR|*|MIR|Rad,6.9759,0.1352,7.7,7.6,,7.152,7.018,6.927,,,,,,143.35067876546395,467.5468398342866,4.423339755443742e+20,9.815561175956482e+30,5.309527618445011e+34
671960101,74.0089,30.351,1.4465199871249725e-12,3.262559832213109e-14,V* V397 Aur,74.0084438434,30.3510197192,Or*,OrionV*,Or*|V*|X|Opt|Y*O|SB*|NIR|Y*?|*|MIR|**|TT*|Em*,6.0526,0.0824,13.07,11.72,11.25,8.958,8.317,8.129,,,,,,165.218253312626,538.8692462743284,5.098102600535308e+20,4.724452053408474e+30,3.268237880360762e+33
671960101,73.941,30.5512,5.712470156193222e-14,1.5175399931360682e-15,V* AB Aur,73.9410245551,30.5511922436,Ae*,Ae*,Em*|UV|Or*|X|V*|smm|Y*O|NIR|IR|*|MIR|Ae?|Ae*|Rad|TT*,6.4127,0.0372,7.16,7.05,6.96,5.936,5.062,4.23,,,,,,155.94055546025854,508.6094780669608,4.811822757964664e+20,1.6620843181387164e+29,1.0421008297261668e+35
670170201,185.065,46.1338,1.330150047182052e-13,8.879030323483139e-14,[VV2006] J122015.5+460802,185.0646616771,46.134010721,QSO,QSO,Opt|NIR|*|QSO|Rad,0.164,0.1178,18.42,18.32,,17.232,16.096,16.017,18.503,17.997,18.01,18.013,17.844,6097.560975609756,19887.560975609755,1.881510719512195e+22,5.9173041433691566e+32,5.706238791510075e+33
670170201,184.975,46.2334,2.6543400317340444e-14,2.9581300923326934e-14,ATO J184.9745+46.2328,184.9751699895,46.2332780108,PM*,HighPM*,V*|PM*|Opt|NIR|*|MIR,10.9889,0.018,16.322,14.827,14.503,11.444,10.836,10.612,,15.557,14.208,13.297,,91.000919109283,296.80495773007306,2.807994958549081e+20,2.630020105149258e+28,8.35054125990462e+31
670300301,288.569,-21.436,5.8856601030062884e-15,1.809040029186532e-15,TYC 6308-681-1,288.568741576,-21.4359821398,*,Star,NIR|*,2.4667,0.0172,12.08,11.46,,10.132,9.914,9.81,,,,,,405.3999270280132,1322.2361859974865,1.2509334657639763e+21,1.1573733138354157e+29,1.366223346791295e+34
670300701,278.366,-34.1942,9.701729877635307e-15,3.3199898942347242e-15,CD-34 12913,278.3656342783,-34.1941924074,*,Star,NIR|*,1.7091,0.0155,10.96,10.0,,8.139,7.651,7.536,,,,,,585.1032707272833,1908.349423673278,1.8054400444678485e+21,3.973975490048566e+29,1.3300056795220325e+35
670320201,316.634,38.7129,2.0867000550986274e-14,5.600960047456383e-15,TYC 3168-1076-1,316.6342769035,38.7130295714,SB*,SB*,SB*|NIR|*,3.5983,0.0192,12.11,11.26,,10.362,10.023,9.971,,,,,,277.9090125892783,906.4169191006864,8.575376094266737e+20,1.928307293549063e+29,6.796695179894879e+33
670320201,316.671,38.6319,1.5083999994154263e-14,5.112009855137364e-15,ATO J316.6709+38.6319,316.6709346832,38.631903724,EB*,EclBin,Opt|NIR|*|MIR|EB*|EB?,1.0942,0.0135,15.246,14.38,14.215,12.642,12.303,12.184,,14.765,14.09,13.861,,913.9097057210748,2980.771339791628,2.820030689087918e+21,1.5074192491094106e+30,4.046444359182949e+33
670320201,316.606,38.8581,1.2359799734249291e-14,5.2098099732932404e-15,TYC 3168-892-1,316.6069508519,38.858328685,*,Star,NIR|*,2.4658,0.0117,11.29,10.91,,10.114,9.965,9.939,,,,,,405.5478952064239,1322.7187930894636,1.2513900478546515e+21,2.4322414841194866e+29,2.0408051681389567e+34
670320301,220.175,-60.8197,3.850860128278184e-14,1.6993900048018623e-14,TYC 9007-5578-1,220.1759688949,-60.8194512551,*,Star,NIR|*,4.1885,0.0158,10.65,10.2,,,8.815,8.758,,,,,,238.7489554733198,778.6940432135609,7.367022991524411e+20,2.6263442978606378e+29,1.7176362252278076e+34
670320701,316.821,38.6864,1.3703599717376346e-14,7.533909985397904e-15,TYC 3168-1052-1,316.8210375758,38.6863780752,*,Star,*,2.6049,0.0129,13.17,12.29,,,,,,,,,,383.8918960420745,1252.0864524549884,1.18456661676072e+21,2.416370399268428e+29,9.422732861575964e+32
670320701,316.628,38.7589,6.623130185566192e-15,6.632819818966308e-15,BD+38  4349,316.6278488215,38.7589105788,*,Star,NIR|*|**,1.7724,0.0103,10.51,9.52,,7.746,7.283,7.196,,,,,,564.2067253441661,1840.1940871135184,1.7409600428797112e+21,2.522613775720194e+29,1.843353669078478e+35
670330101,258.476,-38.2952,3.7528899259064996e-13,1.779929963184948e-14,HD 155536B,258.4755114647,-38.2955605661,*,Star,*|**,10.2853,0.0384,9.56,8.88,,,,,,,,,,97.22613827501388,317.1088835522542,3.000085150651901e+20,4.244659458300121e+29,1.5501011692658048e+33
670330101,258.476,-38.2952,3.7528899259064996e-13,1.779929963184948e-14,HD 155536A,258.4749411096,-38.2949106883,PM*,HighPM*,PM*|*|**,6.8113,0.2712,7.29,6.86,7.77,,,,,,,,,146.81485179040712,478.8454480055202,4.530232965806821e+20,9.678694070181845e+29,3.614331988103308e+34
670330101,258.735,-38.0971,4.5634299832876535e-14,1.1569100407218032e-14,HD 155704,258.7349440857,-38.0971350476,*,Star,NIR|*|MIR,7.8372,0.0152,10.39,9.82,,8.912,8.66,8.599,,,,,,127.59659061909863,416.16393609962734,3.93721938957791e+20,8.8895645117301e+28,5.541437486990154e+33
670350301,243.666,19.4057,8.742169856947035e-13,7.081869677271965e-14,2MASS J16143978+1924204,243.6657698661,19.4056884813,Sy1,Seyfert1,AGN|Opt|NIR|*|QSO|Sy1,0.3746,0.1997,18.85,18.49,,16.275,15.467,14.615,18.165,18.021,17.642,17.234,17.097,2669.5141484249866,8706.780565936999,8.237259957287773e+21,7.454090279676624e+32,1.8580845845415185e+33
670350401,244.325,34.914,5.344050126466354e-14,1.160700004940998e-14,BD+35  2803,244.3253614776,34.9141166997,SB*,SB*,X|Opt|SB*|NIR|*,1.9132,0.0182,10.27,8.95,,6.445,5.761,5.569,14.641,9.782,12.03,11.456,8.149,522.6845076311938,1704.7668827095963,1.6128358666109138e+21,1.7468705882764666e+30,3.319212374135541e+35
670350401,244.111,34.9848,1.0427800251977885e-13,2.8511901498627645e-14,SDSS J161626.73+345905.0,244.1114053846,34.9847389613,QSO,QSO,AGN|X|Opt|*|QSO,0.089,0.3353,20.18,20.01,,,,,20.111,19.824,19.777,19.95,19.678,11235.955056179777,36646.7415730337,3.4670534606741574e+22,1.575156262756449e+33,6.347542905794307e+32
670350401,244.318,34.8497,3.189560161126481e-14,1.0054800315105212e-14,[VV2006] J161716.5+345058,244.3183876133,34.8496142344,QSO,QSO,X|Opt|*|QSO,0.1891,0.2633,19.54,19.34,,,,,19.239,19.249,19.159,18.902,18.925,5288.207297726071,17247.805393971445,1.6317702696985724e+22,1.0672316457265242e+32,3.4632480251526355e+32
670350701,254.244,27.9125,1.0345600244543453e-12,1.794109972348343e-13,2MASS J16565850+2754454,254.2436920923,27.9126131766,QSO,QSO,AGN|X|Opt|NIR|*|QSO,0.0613,0.1113,18.49,18.13,,16.372,,15.443,18.596,18.306,17.967,17.925,18.051,16313.21370309951,53206.52528548124,5.033731778140293e+22,3.2941676520581154e+34,5.69821018389022e+34
670590101,305.298,40.4679,6.709219903819688e-14,3.362719953566625e-15,[WRR2011] 3,305.2976136871,40.4679942841,*,Star,X|NIR|*,3.5289,0.0137,,13.92,,11.927,11.252,11.155,,,,,,283.3744226246139,924.2426818555356,8.744021026382158e+20,6.446207442994971e+29,8.138563349935784e+32
670590101,305.461,40.3089,3.7024501303370434e-14,4.691909888902965e-15,TYC 3156-2068-1,305.4613117491,40.3093127993,*,Star,NIR|*,3.425,0.0293,11.07,10.59,,9.777,9.559,9.51,,,,,,291.97080291970804,952.2802919708028,9.009277605839416e+20,3.77640896496006e+29,1.4116234310765175e+34
670590101,305.494,40.5142,2.081079991493595e-14,2.0209899072044226e-15,ATO J305.4941+40.5141,305.4941673577,40.5141438415,EB?,EclBin_Candidate,Opt|NIR|*|EB?,2.1198,0.0241,16.678,15.661,15.458,13.472,12.857,12.683,,16.259,15.322,14.678,,471.74261722804033,1538.616850646287,1.455645617511086e+21,5.541278170150626e+29,4.373699803396053e+32
670590101,305.532,40.4543,1.0368599764041564e-14,2.1290600880875202e-15,HD 229119,305.5321420689,40.454224976,PM*,HighPM*,X|PM*|NIR|*,12.6539,0.0143,9.105,8.58,,7.571,7.334,7.29,,,,,,79.02701933791163,257.751365191759,2.4385190178522035e+20,7.747868992134174e+27,6.846089962219961e+33
670590101,305.298,40.5801,7.201140386574843e-15,7.393840382075197e-15,ATO J305.2974+40.5800,305.2975021168,40.5801096906,V*,Variable*,V*|Opt|NIR|*|MIR,0.8837,0.0254,17.662,16.187,15.643,12.849,12.127,11.878,,17.007,15.598,14.654,,1131.6057485572026,3690.8000452642295,3.491770487722077e+21,1.1033226189974572e+30,3.76940272323702e+33
670590101,305.478,40.606,9.077239590679024e-15,5.882980090761176e-15,TYC 3156-2036-1,305.4776583946,40.6060509156,*,Star,*,2.2191,0.0137,12.04,11.27,,,,,,,,,,450.6331395610833,1469.7670226668467,1.3905085755486458e+21,2.2055200277994248e+29,3.5133881376255784e+33
670880501,136.427,16.752,4.368289939976145e-15,4.405229893838852e-15,TYC 1401-1119-1,136.4269694904,16.7520948818,*,Star,NIR|*,3.8488,0.0714,10.78,10.36,,9.401,9.202,9.135,,,,,,259.8212429848264,847.4225732695904,8.017245842860111e+20,3.5283505166302543e+28,1.4357109489121068e+34
670880501,136.663,16.885,2.7857600734125694e-15,2.330689928434302e-15,TYC 1401-1125-1,136.6631822313,16.8851111831,SB*,SB*,SB*|NIR|*,2.8405,0.0876,11.07,10.51,,9.521,9.192,9.157,,,,,,352.0506953001232,1148.2344657630697,1.0863149375110016e+21,4.131093993327494e+28,2.291531834427831e+34
670900201,249.403,28.8359,1.812300004890629e-14,8.668769810326899e-15,HD 150086,249.4034161125,28.8361370218,PM*,HighPM*,PM*|NIR|*|IR,3.5673,0.053,8.6,7.65,,5.966,5.478,5.371,,,,,,280.32405460712584,914.2937235444172,8.64989650435904e+20,1.703969347404336e+29,2.4731659270291085e+35
670900201,249.448,29.0263,8.259050317564395e-14,3.186340080674199e-14,SDSS J163747.58+290135.2,249.4482589972,29.0264699055,QSO,QSO,X|Opt|*|QSO,0.0555,0.3904,21.71,20.87,,,,,26.359,20.978,19.92,19.88,19.919,18018.018018018018,58766.84684684684,5.559779423423423e+22,3.208153205240118e+33,1.945192607509429e+33
