EXTraS_Ape_v0.OBS_ID,EXTraS_Ape_v0.XMM_RA,EXTraS_Ape_v0.XMM_DEC,EXTraS_Ape_v0.XMM_EP_8_FLUX,EXTraS_Ape_v0.XMM_EP_8_FLUX_ERR,main_id,ra,dec,otype,main_type,other_types,plx,plx_err,B,V,R,J,H,K,u,g,r,i,z,distance_pc,distance_ly,distance_cm,XLuminosity,VisibleLuminosity
690751601,85.8858,-70.5374,2.8109699762085202e-14,8.2885502728316e-15,OGLE LMC-SC19  78545,85.8837338157,-70.5368101566,RR*,RRLyrae,RR*|V*|*,0.1611,0.2245,19.85,19.42,,18.33,,18.16,,,,,,6207.324643078833,20245.5617628802,1.9153802482929856e+22,1.2959136971713064e+32,2.061375557699125e+33
690751601,85.6079,-70.6698,7.692949738607319e-15,4.007879962018282e-15,HD 270001,85.6081494576,-70.6700428136,*,Star,NIR|*|MIR,2.1291,0.0126,12.56,12.01,,10.809,10.619,10.549,,,,,,469.6820252688929,1531.8961063360102,1.4492872951012162e+21,2.0305408415891463e+29,1.0712704280788567e+34
690751601,85.2187,-70.4427,1.7143399669143113e-14,7.671969579536777e-15,OGLE LMC-SC18  78457,85.2149077227,-70.4421630004,EB*,EclBin,*|EB*,0.1278,0.1063,,18.148,18.08,,,,,,,,,7824.726134585289,25520.813771517995,2.414458200312989e+22,1.2558743673608433e+32,1.060571450191288e+33
690751701,79.731,-70.2946,2.3434598987910615e-13,1.9701999905662185e-14,[KWV2015] J051856.01-701743.7,79.7335346538,-70.2954683358,AGN,AGN,AGN|Lev|*|Q?,1.5296,0.4779,19.586,18.937,,,,,,,,,,653.765690376569,2132.296025104602,2.017310133368201e+21,1.198430161132603e+31,6.763029009641498e+30
690751701,79.675,-70.1306,1.1445599615376566e-14,4.238549903445204e-15,HD 269358,79.6735846863,-70.1315751033,*,Star,NIR|*|MIR,6.0299,0.0402,11.47,10.77,,9.774,9.434,9.389,,,,,,165.84022952287768,540.8978590026369,5.1172947810079775e+20,3.766424653567852e+28,3.9503102665947873e+33
690751801,79.4174,-69.7265,3.25804006440656e-14,1.4732999705207445e-14,OGLE LMC-LPV-37581,79.4209901608,-69.7269337532,LP*,LongPeriodV*,NIR|*|LP*|LP?,0.0178,0.0432,,16.752,,12.976,12.013,11.782,,,,,,56179.77528089887,183233.7078651685,1.7335267303370785e+23,1.2303463069279697e+34,9.023109517938155e+36
690751801,80.0152,-69.7922,2.296370016884041e-14,1.3878800012186426e-14,OGLE LMC-SC6  36242,80.0128948854,-69.7925214262,RR*,RRLyrae,RR*|V*|*,0.6854,0.2259,19.64,19.2,,18.38,,18.1,,,,,,1459.0020426028595,4758.622702071782,4.5020098920338487e+21,5.848771054987501e+30,1.3073684923416469e+32
690751901,78.4142,-69.5334,8.161770277638133e-14,6.4060898512935386e-15,HD 269222,78.414475001,-69.5332989966,PM*,HighPM*,PM*|NIR|*|MIR,11.4108,0.0516,11.969,11.043,10.9,9.308,8.806,8.69,,11.469,10.761,10.483,,87.63627440670243,285.83096715392435,2.7041728713148947e+20,7.500032305176129e+28,8.22712236377207e+32
690751901,78.6399,-69.5463,4.2992698837856017e-14,6.931509894189539e-15,[VV2006] J051433.6-693245,78.6394552811,-69.5460166194,QSO,QSO,Be?|AGN|G|IR|*|QSO,0.1979,0.1133,18.841,18.55,,,,,,,,,,5053.057099545225,16480.848913592723,1.559210500252653e+22,1.3134516007791717e+32,7.105604317470447e+32
690751901,78.1876,-69.6341,1.480670004194804e-14,6.7845001264135035e-15,OGLE LMC-LPV-27992,78.1881637213,-69.6336905415,LP*,LongPeriodV*,V*|NIR|*|LP*|LP?,0.1606,0.0679,,17.332,,14.279,13.407,13.237,,,,,,6226.650062266501,20308.592777085927,1.9213434495641347e+22,6.8687569718981145e+31,3.55632341923995e+34
690751901,78.8386,-69.5939,6.793650199826218e-15,2.915089934238803e-15,HD 269268,78.8384640287,-69.5928099545,*,Star,NIR|*,1.0612,0.0162,12.26,11.33,,9.894,9.407,9.318,,,,,,942.3294383716548,3073.464003015454,2.9077248209574067e+21,7.218046125813357e+29,8.613359912977464e+34
690752001,77.5207,-69.0889,5.737660238418207e-14,3.505180095624721e-15,UCAC4 105-008268,77.5227740241,-69.0888372337,*,Star,NIR|*,5.4226,0.016,13.588,12.597,12.413,10.739,10.21,10.12,,13.08,,11.941,,184.41338103492788,601.4753070482793,5.6904023531147415e+20,2.3346976278539463e+29,9.183186582169892e+32
690752001,77.0238,-69.228,3.1835401285637555e-14,6.1774100137761915e-15,HD 269084,77.0258688442,-69.2285705675,*,Star,NIR|*|MIR,1.7233,0.0124,11.85,11.18,10.77,10.125,9.885,9.8,,,,,,580.2820170602913,1892.624615563164,1.7905632101201184e+21,1.2826244268266104e+30,2.856603717438763e+34
690752001,77.517,-69.0993,1.7777500391918943e-14,2.775499963322478e-15,OGLE LMC-SC10  35601,77.5182159494,-69.0994290922,EB*,EclBin,*|EB*,1.4488,0.0179,,15.003,14.521,,,,,,,,,690.2263942573163,2251.2147984538924,2.1298161098840416e+21,1.013362377171528e+30,1.7092924452917844e+32
690752001,77.573,-69.035,1.22457001610894e-14,4.8716701855845874e-15,HD 269133,77.5730429958,-69.0349130665,*,Star,NIR|*,8.4692,0.0131,12.05,11.32,,9.74,9.349,9.277,,,,,,118.07490672082368,385.1083927643696,3.643410924290369e+20,2.0427245000940017e+28,1.4414504755942056e+33
690752001,77.046,-69.1637,6.8322300094748105e-15,3.2844200161642008e-15,2MASS J05081113-6909484,77.046400289,-69.1634786537,*,Star,NIR|*,1.6459,0.013,13.61,12.94,12.55,11.673,11.449,11.327,,,,,,607.5703262652652,1981.6270733337385,1.8747661340300136e+21,3.0176338461574457e+29,6.540999908500198e+33
690752001,77.5259,-69.0357,1.7303800604298765e-14,5.991520163171763e-15,OGLE LMC-SC10  45461,77.5277411238,-69.0353777634,RR*,RRLyrae,RR*|V*|RR?|*,0.2162,0.3981,19.88,19.65,,,,,,,,,,4625.346901017576,15085.846438482884,1.4272329232192413e+22,4.429360993619696e+31,2.245202824354045e+32
690780101,174.817,19.5884,8.3397698469323e-14,6.369309986657863e-15,SDSS J113916.16+193518.5,174.8173604579,19.5884956667,QSO,QSO,Opt|rG|*|QSO|MIR|Rad,0.1445,0.2442,19.23,18.99,,,,,18.734,18.74,18.604,18.725,18.662,6920.415224913495,22571.349480968856,2.1354170103806227e+22,4.778915213371114e+32,1.2673456499918969e+33
690743001,78.959,-69.4757,5.567249830221556e-15,2.8523199224078123e-15,OGLE J051549.58-692832.8,78.9563759848,-69.4757789262,Be?,Be*_Candidate,Be?|*,0.0094,0.0244,15.024,15.046,,,,,,,,,,106382.97872340425,346974.46808510635,3.282635723404255e+23,7.538691259867365e+33,9.715242530080364e+36
690743201,77.6259,-69.3211,2.491569945424921e-14,5.037889813571403e-15,HD  34276,77.6252439823,-69.3204117372,*,Star,NIR|IR|*|MIR|EB*,3.6365,0.0247,9.85,8.7,,6.715,6.163,6.013,,,,,,274.98968788670425,896.895366423759,8.485295146432009e+20,2.254326694733949e+29,1.0293794674582372e+35
690743201,78.1773,-69.2966,8.846710256721346e-15,1.774239998185944e-15,2MASS J05124266-6917491,78.17784615,-69.2970042446,*,Star,NIR|*,2.3889,0.032,12.71,12.12,11.76,10.917,10.652,10.581,,,,,,418.60270417346896,1365.297835824019,1.2916729791954456e+21,1.854798845283916e+29,6.500566112444855e+33
690743201,77.66,-69.4669,1.217060035651335e-13,3.87940988198516e-14,OGLE LMC-LPV-24290,77.659407319,-69.4656615861,LP*,LongPeriodV*,V*|NIR|*|LP*|LP?,0.0146,0.028,,16.494,,13.48,12.669,12.45,,,,,,68493.1506849315,223394.5205479452,2.113477794520548e+23,6.831518429840893e+34,8.899019457828303e+36
690743201,77.7477,-69.205,7.328400310636224e-15,5.259289826423574e-15,TYC 9161-718-1,77.7489655612,-69.2049960386,*,Star,NIR|*|MIR,7.7959,0.0117,12.84,11.53,9.04,10.032,9.594,9.484,,,,,,128.27255352172295,418.3686296643107,3.958077425313306e+20,1.442738493006848e+28,3.362508954854752e+33
690743301,81.1881,-68.9663,1.4193100057594606e-14,8.259800280535894e-15,OGLE LMC-ECL-14972,81.1884774898,-68.9672213709,El*,EllipVar,NIR|*|MIR|EB*|El*,0.7906,0.0154,,14.403,13.989,13.118,12.777,12.754,,,,,,1264.862130027827,4125.423728813559,3.902956716417911e+21,2.716905909871722e+30,5.918944634744505e+33
690743401,80.6117,-69.1511,3.60838989981252e-13,2.1789099252092145e-14,MACHO  80.6833.2188,80.6131839228,-69.151418083,AGN,AGN,AGN|Lev|*|Q?,0.2785,0.5442,20.759,20.087,,,,,,,,,,3590.6642728904844,11711.166965888688,1.107963224416517e+22,5.566394900670914e+32,6.985862224283829e+31
690743401,80.2014,-69.3239,4.167889991468776e-14,2.6220399549498064e-14,OGLE J052048.93-691930.5,80.2034516884,-69.3250847324,HX?,HighMassXBin_Candidate,Be?|X|HX?|NIR|*,0.0517,0.0374,15.095,15.24,15.57,15.35,15.192,,,,,,,19342.35976789168,63086.26692456479,5.968428588007736e+22,1.865718489229605e+33,5.63558960635699e+35
690743501,81.8469,-69.1718,1.4692099872316323e-14,9.16915028875264e-15,OGLE LMC-LPV-57711,81.8505390883,-69.171669631,LP*,LongPeriodV*,V*|NIR|*|LP*|LP?,0.0169,0.037,,17.225,,13.748,12.806,12.598,,,,,,59171.5976331361,192991.71597633127,1.825844721893492e+23,6.154905887883288e+33,5.0382337596393626e+36
690743601,82.3624,-68.868,6.396470267518166e-13,1.0557599919628312e-14,HD 269620,82.3628656338,-68.8680103666,Ro*,RotV*,V*|X|Ro*|NIR|*,11.2319,0.0123,10.27,9.629,,8.439,8.16,8.062,,,,,,89.0321316963292,290.38363945547945,2.747244526749704e+20,6.066593328657116e+29,3.4315967687991586e+33
690743601,82.351,-68.7487,2.0582800668391722e-14,8.919839693255494e-15,W61 16-85,82.3532482913,-68.7495333877,*,Star,NIR|*|MIR,0.0311,0.0277,13.958,14.008,,14.48,14.55,14.548,,,,,,32154.340836012863,104873.3118971061,9.921792861736334e+22,2.5462124901277733e+33,6.846061143251992e+36
690743601,82.1706,-68.8166,9.041599832390352e-15,4.932969959977381e-15,HD 269609,82.1723838665,-68.8169193398,*,Star,NIR|*|MIR,2.9018,0.012,11.27,10.67,,9.736,9.541,9.446,,,,,,344.6136880556896,1123.9782204149149,1.0633667309945552e+21,1.284757859655999e+29,1.84537769336714e+34
690743701,83.3363,-68.6908,1.6745799354383336e-13,3.3152700148943864e-14,SK -68  122,83.3362269958,-68.6898337981,HXB,HighMassXBin,X|HX?|NIR|*|MIR|HXB,0.0714,0.032,12.64,12.7,,12.746,12.78,12.789,,,,,,14005.602240896358,45680.11204481792,4.321677282913165e+22,3.93025214818293e+33,4.487857555951852e+36
690743701,82.8435,-68.5522,5.178680157228929e-14,2.5381799662266627e-14,OGLE BRIGHT-LMC-MISC-446,82.8440017864,-68.551549607,*,Star,NIR|*,1.4357,0.0144,,14.468,,12.713,12.244,12.122,,,,,,696.5243435258062,2271.7559378700284,2.1492495507417984e+21,3.006094593209379e+30,2.533945946280549e+33
690743701,82.7423,-68.7536,1.0105300419420512e-14,2.6229400121595588e-15,HD 269665,82.7416551109,-68.7527564326,HS*,HotSubdwarf,blu|NIR|HS*|*|MIR|Pe*,2.6184,0.0543,10.92,11.12,,11.798,11.931,12.041,,,,,,381.9126183929117,1245.630919645585,1.1784592040941034e+21,1.7635517109127613e+29,1.414712883236055e+34
