EXTraS_Ape_v0.OBS_ID,EXTraS_Ape_v0.XMM_RA,EXTraS_Ape_v0.XMM_DEC,EXTraS_Ape_v0.XMM_EP_8_FLUX,EXTraS_Ape_v0.XMM_EP_8_FLUX_ERR,main_id,ra,dec,otype,main_type,other_types,plx,plx_err,B,V,R,J,H,K,u,g,r,i,z,distance_pc,distance_ly,distance_cm,XLuminosity,VisibleLuminosity,name,class,id_type,scale,b1,b2,r1,r2,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14,flux_15,flux_16,flux_17,flux_18,flux_19,flux_20,flux_21,flux_22,flux_23,flux_24,flux_25,flux_26,flux_27,flux_28,flux_29,flux_30,flux_31,flux_32,flux_33,flux_34,flux_35,flux_36,flux_37,flux_38,flux_39,flux_40,flux_41,flux_42,flux_43,flux_44,flux_45,flux_46,flux_47,flux_48,flux_49,flux_50,flux_51,flux_52,flux_53,flux_54,flux_55,flux_56,flux_57,flux_58,flux_59,flux_60,flux_61,flux_62,flux_63,flux_64,flux_65,flux_66,flux_67,flux_68,flux_69,flux_70,flux_71,flux_72,flux_73,flux_74,flux_75,flux_76,flux_77,flux_78,flux_79,flux_80,flux_81,flux_82,flux_83,flux_84,flux_85,flux_86,flux_87,flux_88,flux_89,flux_90,flux_91,flux_92
690200501.0,83.7223,-5.90128,9.850400253504437e-14,1.574630013781008e-14,Haro 4-330,83.7221039286,-5.9014916662,TT*,TTauri*,Or*|X|Y*O|NIR|Y*?|*|TT*|Em*,2.6912,0.0395,,16.84,,12.676,11.99,11.693,,,,,,371.5814506539834,1211.935196195006,1.1465805514268728e+21,1.6273197056208316e+30,4.565489576888035e+32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690200501.0,83.7417,-6.20664,9.355970181533157e-14,1.6255199226586362e-14,V* KU Ori,83.7418358575,-6.2066453594,TT*,TTauri*,Or*|X|V*|Opt|Y*O|NIR|V*?|*|TT*,2.9752,0.3755,,14.125,,10.893,10.16,9.974,17.458,15.229,13.905,13.037,12.49,336.1118580263512,1096.2489916644258,1.0371328246840548e+21,1.26464156693429e+30,2.2348979867277528e+33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690200501.0,83.9365,-5.85092,5.1249701368567136e-14,1.1815199900812142e-14,Haro 4-378,83.9363268932,-5.8507797165,Em*,EmLine*,X|Y*O|NIR|*|Em*,3.7102,0.0234,14.5,13.5,,11.666,11.2,11.065,,,,,,269.52724920489464,879.0792949167161,8.316741900706163e+20,4.454589109566728e+29,1.104815099283747e+33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690200501.0,83.6427,-6.03604,3.331860002199309e-14,4.481030025255692e-15,V* V760 Ori,83.6427307725,-6.0360251836,TT*,TTauri*,Or*|X|V*|Y*O|Er*|NIR|*|TT*,2.6148,0.0356,,16.97,,12.951,12.28,12.048,,,,,,382.4384274131865,1247.3458773137525,1.180081681199327e+21,5.830700666796505e+29,3.764904728928904e+32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690200501.0,83.717,-6.05581,2.397859979964748e-14,4.0714798543793444e-15,V* V1708 Ori,83.7169175557,-6.0557515947,TT*,TTauri*,Or*|X|V*|Y*O|NIR|*|TT*,2.5879,0.0349,,15.77,,12.507,11.8,11.585,,,,,,386.4136945013332,1260.311449437768,1.192348073727733e+21,4.283904614829489e+29,6.4252209660334674e+32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690200501.0,83.8466,-6.0328,1.6977199946430554e-14,3.830579872531959e-15,2MASS J05352322-0601581,83.8467990961,-6.0328507229,Or*,OrionV*,Or*|X|V*|Y*O|NIR|Y*?|*,2.5768,0.026,,16.38,,11.868,11.185,10.914,,,,,,388.078236572493,1265.7404532753803,1.197484313877678e+21,3.0592544042932927e+29,1.02021808157756e+33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690200501.0,83.9422,-6.01295,4.327259918121031e-14,1.1901200002979815e-14,HD  37102,83.9421302397,-6.0127886115,Y*O,YSO,X|Y*O|NIR|*,9.3287,0.0168,9.29,8.91,,8.113,7.921,7.869,,,,,,107.19607233590962,349.6264216879093,3.3077251707097455e+20,5.949516622519976e+28,9.022906913533792e+33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690200501.0,83.6511,-6.08076,1.8087800747750192e-14,2.7297800894450063e-15,2MASS J05343625-0604515,83.6510519843,-6.0809740298,TT*,TTauri*,Y*O|NIR|*|TT*,2.6227,0.0357,,17.081,,12.889,12.28,12.044,,,,,,381.286460517787,1243.5886681663933,1.1765270827772906e+21,3.146295338182573e+29,3.825788817499827e+32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690200501.0,83.788,-6.23921,1.444640034767991e-13,3.0189799228239056e-14,BD-06  1236,83.7877583596,-6.2389352211,Y*O,YSO,X|Opt|Y*O|NIR|*,2.6778,0.0271,11.42,10.81,10.47,9.612,9.29,9.188,14.366,11.191,10.733,10.603,10.978,373.44088430801406,1217.9998506236464,1.1523181641646128e+21,2.410539907075545e+30,1.5270597676968078e+34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690200501.0,83.778,-5.96986,1.2226499618241042e-14,1.5685700224389956e-15,2MASS J05350670-0558113,83.7779507545,-5.9698297195,Y*?,YSO_Candidate,NIR|Y*?|*,2.6473,0.0354,,16.87,,13.078,12.377,12.117,,,,,,377.7433611604276,1232.032637026404,1.1655942205265742e+21,2.0874052594439737e+29,3.382104482101536e+32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
